Название кампании	Название группы	Фраза (с минус-словами)	Заголовок	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Регионы показа	Минус-фразы на группу	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
SS | Поиск | Экзамены | СПб	IELTS, TOEFL, Cambridge	подготовка к ielts	Подготовка к IELTS в Санкт-Петербурге	Диагностика бесплатно	Стартуем с пробного теста: узнаете текущий балл и план до цели.	https://smartsay.ru/courses?language=english&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ielts	Санкт-Петербург, Ленинградская область		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы ielts	IELTS и TOEFL: подготовка до нужного балла	Очно и онлайн	Разбираем все модули: Listening, Reading, Writing, Speaking.	https://smartsay.ru/courses?language=english&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ielts			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		ielts спб	Cambridge exams: подготовка в СПб	Диагностика бесплатно	В мини-группе или индивидуально — 2 000 ₽ за занятие. Очно и онлайн.	https://smartsay.ru/courses?language=english&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ielts			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		подготовка к ielts спб											
		подготовка к toefl											
		курсы toefl											
		cambridge exams подготовка											
		подготовка к кембриджскому экзамену											
		международный экзамен по английскому подготовка											
SS | Поиск | Экзамены | СПб	HSK | китайский	подготовка к hsk	Подготовка к HSK в Санкт-Петербурге	Диагностика бесплатно	Иероглифы, тоны, аудирование — системно до нужного уровня HSK.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	hsk	Санкт-Петербург, Ленинградская область		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы hsk	HSK 1–6: подготовка с преподавателем	Очно и онлайн	Преподаватели с опытом. Мини-группы до 6 человек или индивидуально.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	hsk			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		hsk спб	Курсы китайского с подготовкой к HSK	Диагностика бесплатно	Первый урок в группе бесплатно. Очно в Петергофе или онлайн.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	hsk			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		hsk 4 подготовка											
		экзамен hsk подготовка											
		китайский подготовка к экзамену											
